user_id,age_group,education_level,neurodivergence_type,primary_challenge,prior_elearning_experience,font_type,font_size_pt,color_theme,layout_mode,content_format,text_to_speech_enabled,session_reminder_used,session_duration_min,task_completion_rate,number_of_setting_changes,errors_or_backtracks,sus_score,engagement_score,would_recommend,feedback_theme
WALS-105412,Higher Ed (18-24),Undergraduate,Dyscalculia,Reading Comprehension,Extensive,Standard,12,Default,Distraction-Free,Audio,True,False,13.9,0.81,1,1,47.0,5.0,False,Neutral: No Strong Opinion
WALS-109058,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,None,Standard,16,High-Contrast,Simplified,Visual,False,True,27.0,0.71,2,3,74.8,5.0,True,Suggestion: More Audio Content
WALS-107388,Higher Ed (18-24),Undergraduate,Multiple,Cognitive Overload,Some,Dyslexia-Friendly,13,Default,Distraction-Free,Audio,False,True,32.0,0.5,0,2,78.7,4.0,True,Suggestion: Better Font Controls
WALS-104420,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,None,Standard,15,Default,Distraction-Free,Visual,False,False,26.1,0.77,6,1,66.5,8.0,True,Neutral: No Strong Opinion
WALS-105377,School (13-17),Undergraduate,Autism,Sensory Sensitivity,Extensive,Standard,20,Dark Mode,Standard,Audio,True,False,12.4,0.63,2,5,93.1,2.0,True,Neutral: No Strong Opinion
WALS-103593,Higher Ed (18-24),Postgraduate,Dyslexia,Reading Comprehension,None,Standard,20,Default,Distraction-Free,Visual,False,False,23.0,0.8,6,3,53.4,8.0,False,Neutral: No Strong Opinion
WALS-103689,Higher Ed (18-24),Undergraduate,None (Control),Sensory Sensitivity,Extensive,Standard,16,Low-Stimulation Pastel,Simplified,Text,True,False,14.2,0.72,3,2,50.1,6.0,False,Neutral: No Strong Opinion
WALS-102458,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,,Dyslexia-Friendly,19,High-Contrast,Simplified,Text,True,False,13.9,0.58,2,0,69.9,,True,
WALS-104631,Adult Learner (25+),Undergraduate,Autism,Cognitive Overload,Extensive,Standard,17,High-Contrast,Distraction-Free,Multimodal,False,False,9.3,0.82,2,1,71.8,3.0,True,Neutral: No Strong Opinion
WALS-104865,Higher Ed (18-24),Secondary,Dyslexia,Cognitive Overload,Some,Dyslexia-Friendly,19,Default,Standard,Visual,True,True,21.5,0.64,3,3,51.9,8.0,False,Suggestion: Better Font Controls
WALS-102317,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,None,Dyslexia-Friendly,15,Default,Distraction-Free,Text,True,False,4.0,0.88,5,0,63.9,8.0,True,Neutral: No Strong Opinion
WALS-104132,Higher Ed (18-24),Undergraduate,None (Control),Sensory Sensitivity,Extensive,Standard,17,Default,Simplified,Multimodal,False,True,5.4,0.71,2,1,70.8,6.0,True,Positive: Helpful Personalization
WALS-105950,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Some,Standard,14,High-Contrast,Distraction-Free,Audio,False,True,23.8,0.93,1,3,67.1,8.0,True,Neutral: No Strong Opinion
WALS-100103,Adult Learner (25+),Secondary,Dyslexia,Cognitive Overload,None,Dyslexia-Friendly,12,Default,Distraction-Free,Visual,False,True,9.5,0.59,3,0,76.1,8.0,False,Positive: Helpful Personalization
WALS-106027,Higher Ed (18-24),Undergraduate,Dyscalculia,Cognitive Overload,Some,Dyslexia-Friendly,11,Low-Stimulation Pastel,Standard,Text,False,False,18.8,0.69,2,2,100.0,5.0,True,Suggestion: Better Font Controls
WALS-104196,School (13-17),Undergraduate,Autism,Cognitive Overload,Some,Standard,12,Dark Mode,Distraction-Free,Text,True,False,25.4,0.61,0,1,69.9,4.0,False,Neutral: No Strong Opinion
WALS-102523,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Extensive,Standard,14,Default,Simplified,Audio,True,True,27.1,0.78,4,3,70.0,4.0,True,Suggestion: More Audio Content
WALS-105168,Higher Ed (18-24),Secondary,Autism,Cognitive Overload,None,Dyslexia-Friendly,15,Low-Stimulation Pastel,Simplified,Multimodal,True,False,7.3,0.82,0,0,92.5,9.0,True,Positive: Helpful Personalization
WALS-110335,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,None,Dyslexia-Friendly,15,Low-Stimulation Pastel,Distraction-Free,Multimodal,False,False,10.6,0.68,0,1,85.1,10.0,True,Positive: Ease of Use
WALS-106923,School (13-17),Postgraduate,None (Control),Attention & Distraction,None,Standard,19,Dark Mode,Distraction-Free,Multimodal,False,False,6.2,0.57,2,0,88.4,9.0,True,Neutral: No Strong Opinion
WALS-100756,Adult Learner (25+),Undergraduate,Autism,Attention & Distraction,Extensive,Dyslexia-Friendly,11,Low-Stimulation Pastel,Distraction-Free,Text,True,True,6.9,0.72,2,4,71.4,10.0,True,Neutral: No Strong Opinion
WALS-109410,Adult Learner (25+),Undergraduate,Dyslexia,Cognitive Overload,Extensive,Standard,12,High-Contrast,Simplified,Visual,False,False,26.0,0.39,1,0,60.4,5.0,False,Suggestion: More Audio Content
WALS-103320,Adult Learner (25+),Undergraduate,ADHD,Cognitive Overload,Some,Standard,21,Default,Standard,Multimodal,False,False,16.2,0.9,3,3,62.5,7.0,True,Neutral: No Strong Opinion
WALS-106959,School (13-17),Undergraduate,None (Control),Reading Comprehension,Some,Standard,17,Default,Standard,Text,True,False,15.4,0.92,0,1,87.6,8.0,True,Neutral: No Strong Opinion
WALS-103632,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,Some,Standard,13,Low-Stimulation Pastel,Standard,Multimodal,True,False,6.6,0.67,2,2,92.0,6.0,True,Positive: Helpful Personalization
WALS-101512,School (13-17),Postgraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,15,Default,Standard,Multimodal,True,False,15.3,0.69,3,1,70.7,5.0,True,Neutral: No Strong Opinion
WALS-109999,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,Some,Standard,17,Default,Standard,Multimodal,True,False,19.5,0.74,2,1,79.4,8.0,True,Neutral: No Strong Opinion
WALS-103609,School (13-17),Secondary,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,15,High-Contrast,Distraction-Free,Visual,True,True,16.2,0.59,2,1,100.0,8.0,True,Suggestion: More Audio Content
WALS-110374,Adult Learner (25+),Secondary,ADHD,Attention & Distraction,Some,Dyslexia-Friendly,16,Dark Mode,Distraction-Free,Text,True,False,14.3,0.83,0,0,79.2,6.0,True,Suggestion: More Audio Content
WALS-104010,Adult Learner (25+),Secondary,None (Control),Sensory Sensitivity,Some,Standard,15,Low-Stimulation Pastel,Simplified,Visual,False,False,28.1,0.77,2,1,58.2,7.0,True,Suggestion: Better Font Controls
WALS-105641,School (13-17),Undergraduate,None (Control),Reading Comprehension,None,Standard,18,High-Contrast,Simplified,Audio,True,False,19.4,0.41,4,1,59.5,4.0,False,Suggestion: More Audio Content
WALS-103349,Higher Ed (18-24),Secondary,ADHD,Cognitive Overload,Extensive,Dyslexia-Friendly,18,Default,Distraction-Free,Visual,False,True,17.0,0.74,0,1,64.0,8.0,True,Positive: Helpful Personalization
WALS-103934,Higher Ed (18-24),Secondary,Multiple,Attention & Distraction,Extensive,Dyslexia-Friendly,11,Low-Stimulation Pastel,Distraction-Free,Visual,False,False,22.7,0.86,1,2,68.5,8.0,True,Neutral: No Strong Opinion
WALS-103931,School (13-17),Undergraduate,Dyslexia,Cognitive Overload,Extensive,Standard,14,High-Contrast,Distraction-Free,Visual,False,False,18.2,0.66,1,2,94.0,5.0,True,Suggestion: More Audio Content
WALS-104688,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,None,Standard,12,Low-Stimulation Pastel,Standard,Text,True,False,10.2,0.66,1,2,68.2,4.0,True,Suggestion: More Audio Content
WALS-108854,Higher Ed (18-24),Secondary,Autism,Cognitive Overload,Extensive,Standard,17,Dark Mode,Distraction-Free,Text,True,False,14.0,0.57,2,4,73.0,6.0,True,Suggestion: More Audio Content
WALS-105214,School (13-17),Secondary,Dyscalculia,Reading Comprehension,Some,Dyslexia-Friendly,12,Low-Stimulation Pastel,Simplified,Audio,True,False,5.4,0.49,2,1,100.0,9.0,True,Positive: Ease of Use
WALS-107458,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,Some,Standard,17,Default,Standard,Text,False,False,32.2,0.86,3,0,71.3,9.0,True,Suggestion: More Audio Content
WALS-105912,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,None,Standard,12,Low-Stimulation Pastel,Standard,Visual,True,False,25.2,0.66,1,4,55.4,4.0,False,Neutral: No Strong Opinion
WALS-100567,Adult Learner (25+),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,16,Dark Mode,Distraction-Free,Multimodal,True,True,5.4,0.87,2,0,78.0,10.0,True,Neutral: No Strong Opinion
WALS-104023,Adult Learner (25+),Postgraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,11,Low-Stimulation Pastel,Distraction-Free,Text,True,True,5.9,0.45,2,1,64.6,4.0,False,Positive: Helpful Personalization
WALS-102485,School (13-17),Undergraduate,None (Control),Cognitive Overload,Some,Standard,17,Dark Mode,Simplified,Visual,True,True,21.9,0.85,1,1,62.5,6.0,True,Positive: Ease of Use
WALS-110297,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,19,Dark Mode,Simplified,Text,False,False,21.0,0.71,2,1,73.3,5.0,True,Positive: Helpful Personalization
WALS-103305,School (13-17),Undergraduate,Multiple,Sensory Sensitivity,Some,Dyslexia-Friendly,14,Default,Simplified,Text,True,True,15.7,0.51,2,1,58.1,10.0,False,Neutral: No Strong Opinion
WALS-105890,School (13-17),Secondary,ADHD,Cognitive Overload,None,Standard,16,High-Contrast,Distraction-Free,Audio,False,False,21.0,0.6,2,2,69.3,8.0,True,Suggestion: More Audio Content
WALS-103997,Higher Ed (18-24),Undergraduate,Autism,Cognitive Overload,Some,Standard,15,Default,Simplified,Multimodal,False,True,15.3,0.78,2,0,78.5,7.0,True,Suggestion: Better Font Controls
WALS-107398,Higher Ed (18-24),Undergraduate,Autism,Attention & Distraction,Extensive,Standard,11,Low-Stimulation Pastel,Simplified,Visual,False,False,21.1,0.38,3,1,60.1,6.0,False,Suggestion: Better Font Controls
WALS-102453,Higher Ed (18-24),Postgraduate,Dyslexia,Cognitive Overload,Some,Standard,21,Low-Stimulation Pastel,Simplified,Text,False,True,11.3,0.87,2,1,93.9,6.0,True,Positive: Helpful Personalization
WALS-104377,School (13-17),Undergraduate,None (Control),Reading Comprehension,Some,Dyslexia-Friendly,15,Dark Mode,Simplified,Visual,False,False,25.6,0.92,4,1,77.6,6.0,True,Suggestion: Better Font Controls
WALS-110403,Adult Learner (25+),Secondary,None (Control),Sensory Sensitivity,None,Dyslexia-Friendly,19,Default,Standard,Text,True,False,9.4,0.7,2,1,64.3,6.0,True,Suggestion: Better Font Controls
WALS-102473,School (13-17),Undergraduate,Multiple,Reading Comprehension,Some,Dyslexia-Friendly,14,Default,Standard,Multimodal,True,True,14.9,0.62,0,0,89.8,9.0,True,Positive: Helpful Personalization
WALS-106972,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,Extensive,Dyslexia-Friendly,16,High-Contrast,Distraction-Free,Visual,True,False,14.4,0.86,5,5,65.8,2.0,True,Suggestion: More Audio Content
WALS-103724,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,Some,Standard,19,High-Contrast,Simplified,Audio,True,False,15.4,0.74,2,1,75.9,8.0,True,Suggestion: Better Font Controls
WALS-107178,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,None,Standard,15,Low-Stimulation Pastel,Distraction-Free,Audio,False,True,6.3,0.59,1,1,77.0,9.0,True,Positive: Helpful Personalization
WALS-101224,School (13-17),Secondary,Autism,Sensory Sensitivity,Extensive,Standard,16,Low-Stimulation Pastel,Simplified,Audio,False,False,4.0,0.83,3,1,88.4,9.0,True,Suggestion: More Audio Content
WALS-105728,School (13-17),Secondary,Autism,Cognitive Overload,Extensive,Standard,19,Low-Stimulation Pastel,Standard,Text,False,False,10.8,0.78,2,3,74.3,8.0,True,Suggestion: Better Font Controls
WALS-101199,Higher Ed (18-24),Secondary,Autism,Sensory Sensitivity,None,Dyslexia-Friendly,18,Low-Stimulation Pastel,Simplified,Visual,False,True,24.6,0.71,2,2,96.4,6.0,True,Suggestion: Better Font Controls
WALS-108603,Higher Ed (18-24),Undergraduate,Multiple,Sensory Sensitivity,Some,Dyslexia-Friendly,19,Low-Stimulation Pastel,Standard,Visual,False,False,22.8,0.79,2,0,76.6,7.0,True,Suggestion: More Audio Content
WALS-100764,Adult Learner (25+),Undergraduate,Multiple,Cognitive Overload,Extensive,Standard,15,Default,Distraction-Free,Visual,False,True,10.6,0.26,1,3,36.8,4.0,False,Suggestion: Better Font Controls
WALS-104813,Adult Learner (25+),Secondary,Dyslexia,Reading Comprehension,,Dyslexia-Friendly,18,Low-Stimulation Pastel,Standard,Multimodal,False,False,15.8,0.71,1,2,79.8,,True,
WALS-100036,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Standard,14,Low-Stimulation Pastel,Distraction-Free,Audio,True,True,9.7,0.66,1,2,87.2,10.0,True,Suggestion: More Audio Content
WALS-109553,Adult Learner (25+),Undergraduate,Autism,Sensory Sensitivity,None,Standard,20,Default,Simplified,Multimodal,False,False,19.3,0.82,0,0,59.1,6.0,True,Negative: Confusing Navigation
WALS-109119,Higher Ed (18-24),Secondary,None (Control),Cognitive Overload,Some,Standard,15,Default,Distraction-Free,Multimodal,False,False,25.1,0.78,2,1,72.1,10.0,True,Suggestion: More Audio Content
WALS-109602,Higher Ed (18-24),Secondary,Multiple,Attention & Distraction,None,Standard,13,Low-Stimulation Pastel,Simplified,Visual,False,True,19.2,0.57,0,4,53.5,7.0,False,Suggestion: Better Font Controls
WALS-101692,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,17,High-Contrast,Standard,Multimodal,True,False,15.4,0.84,2,0,56.7,6.0,False,Suggestion: More Audio Content
WALS-103464,Higher Ed (18-24),Undergraduate,Multiple,Attention & Distraction,,Standard,11,Low-Stimulation Pastel,Distraction-Free,Visual,False,False,19.0,0.78,1,1,73.2,,True,
WALS-101536,School (13-17),Undergraduate,None (Control),Sensory Sensitivity,Some,Standard,18,Dark Mode,Standard,Text,True,False,18.5,0.68,3,2,61.6,4.0,True,Neutral: No Strong Opinion
WALS-109152,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,Some,Dyslexia-Friendly,16,Dark Mode,Standard,Multimodal,True,False,20.4,0.92,0,1,75.6,8.0,True,Positive: Ease of Use
WALS-101683,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,,Standard,12,Default,Distraction-Free,Audio,True,False,11.7,0.58,0,2,100.0,,True,
WALS-105326,School (13-17),Secondary,ADHD,Attention & Distraction,Extensive,Dyslexia-Friendly,14,Default,Standard,Multimodal,False,True,13.6,0.74,1,1,88.1,9.0,True,Neutral: No Strong Opinion
WALS-107581,School (13-17),Undergraduate,None (Control),Attention & Distraction,Some,Dyslexia-Friendly,19,Dark Mode,Distraction-Free,Multimodal,False,False,35.7,0.46,3,1,60.6,8.0,True,Neutral: No Strong Opinion
WALS-108991,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,22,Low-Stimulation Pastel,Standard,Multimodal,True,False,20.3,0.68,1,1,56.1,8.0,True,Neutral: No Strong Opinion
WALS-101351,School (13-17),Undergraduate,ADHD,Cognitive Overload,Extensive,Dyslexia-Friendly,19,Dark Mode,Distraction-Free,Visual,True,True,17.5,0.5,3,1,78.8,4.0,True,Suggestion: Better Font Controls
WALS-102412,School (13-17),Postgraduate,Multiple,Attention & Distraction,Some,Dyslexia-Friendly,12,Dark Mode,Distraction-Free,Visual,False,False,15.2,0.72,2,3,86.0,9.0,True,Neutral: No Strong Opinion
WALS-106449,Higher Ed (18-24),Undergraduate,Multiple,Attention & Distraction,Extensive,Standard,11,Dark Mode,Simplified,Text,False,False,14.1,0.86,1,3,46.7,7.0,False,Suggestion: More Audio Content
WALS-103914,Higher Ed (18-24),Secondary,None (Control),Reading Comprehension,Some,Standard,22,High-Contrast,Standard,Audio,False,False,32.0,0.42,8,1,60.9,5.0,True,Neutral: No Strong Opinion
WALS-108644,Adult Learner (25+),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,14,Dark Mode,Simplified,Audio,True,True,24.9,0.41,1,1,68.0,8.0,True,Suggestion: More Audio Content
WALS-101360,Higher Ed (18-24),Undergraduate,ADHD,Cognitive Overload,None,Standard,24,Low-Stimulation Pastel,Distraction-Free,Multimodal,False,True,8.9,0.66,1,0,77.9,7.0,True,Suggestion: More Audio Content
WALS-104113,Adult Learner (25+),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Standard,26,High-Contrast,Simplified,Visual,False,False,20.0,0.67,4,0,57.5,8.0,False,Neutral: No Strong Opinion
WALS-109162,School (13-17),Undergraduate,None (Control),Sensory Sensitivity,Extensive,Standard,14,Dark Mode,Distraction-Free,Text,True,True,25.5,0.8,4,1,66.1,5.0,False,Neutral: No Strong Opinion
WALS-102676,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,11,Default,Simplified,Multimodal,True,True,22.4,0.26,2,0,94.6,5.0,True,Positive: Ease of Use
WALS-104047,Higher Ed (18-24),Undergraduate,Multiple,Reading Comprehension,Extensive,Dyslexia-Friendly,15,Dark Mode,Standard,Multimodal,True,False,4.0,0.46,3,1,100.0,9.0,True,Positive: Ease of Use
WALS-102236,School (13-17),Postgraduate,ADHD,Attention & Distraction,None,Standard,17,High-Contrast,Standard,Multimodal,True,False,4.5,0.86,1,2,49.2,10.0,False,Neutral: No Strong Opinion
WALS-107315,School (13-17),Undergraduate,ADHD,Cognitive Overload,Extensive,Standard,17,High-Contrast,Simplified,Text,False,False,8.3,0.77,0,1,80.2,7.0,True,Positive: Ease of Use
WALS-102406,Higher Ed (18-24),Undergraduate,Dyslexia,Cognitive Overload,Some,Standard,18,Default,Simplified,Multimodal,False,False,12.1,0.71,0,1,76.8,4.0,True,Positive: Ease of Use
WALS-102377,Higher Ed (18-24),Postgraduate,Multiple,Cognitive Overload,Extensive,Dyslexia-Friendly,19,Default,Distraction-Free,Visual,True,False,18.1,0.85,3,0,64.8,4.0,False,Neutral: No Strong Opinion
WALS-107917,Higher Ed (18-24),Secondary,Dyscalculia,Cognitive Overload,Some,Standard,16,Default,Distraction-Free,Text,True,False,20.5,0.83,1,0,61.9,1.0,False,Suggestion: Better Font Controls
WALS-109562,Higher Ed (18-24),Undergraduate,Dyslexia,Cognitive Overload,Extensive,Dyslexia-Friendly,11,Dark Mode,Distraction-Free,Multimodal,True,False,21.8,0.96,2,0,88.1,6.0,True,Positive: Helpful Personalization
WALS-105193,Adult Learner (25+),Undergraduate,None (Control),Cognitive Overload,Some,Standard,12,Dark Mode,Simplified,Multimodal,False,True,28.7,0.87,2,1,81.4,6.0,True,Positive: Helpful Personalization
WALS-100637,Adult Learner (25+),Undergraduate,Multiple,Cognitive Overload,Some,Standard,17,Low-Stimulation Pastel,Standard,Multimodal,False,False,28.2,0.5,5,0,80.2,7.0,True,Suggestion: Better Font Controls
WALS-101071,School (13-17),Postgraduate,Multiple,Attention & Distraction,Some,Dyslexia-Friendly,16,Default,Distraction-Free,Audio,True,False,17.1,0.7,2,0,66.5,4.0,True,Positive: Helpful Personalization
WALS-103315,Higher Ed (18-24),Postgraduate,Autism,Sensory Sensitivity,Some,Standard,13,Low-Stimulation Pastel,Simplified,Multimodal,True,False,25.1,0.54,3,3,81.0,6.0,True,Negative: Too Many Options
WALS-108439,Adult Learner (25+),Postgraduate,Multiple,Sensory Sensitivity,None,Dyslexia-Friendly,14,Default,Distraction-Free,Text,True,False,12.5,0.52,1,2,57.8,8.0,True,Neutral: No Strong Opinion
WALS-101190,Higher Ed (18-24),Secondary,None (Control),Reading Comprehension,Some,Standard,19,Low-Stimulation Pastel,Standard,Audio,True,True,18.1,0.48,3,1,77.8,8.0,True,Neutral: No Strong Opinion
WALS-106965,Higher Ed (18-24),Secondary,Multiple,Reading Comprehension,Some,Standard,16,High-Contrast,Simplified,Audio,True,False,26.3,0.65,7,2,58.9,6.0,False,Neutral: No Strong Opinion
WALS-102018,School (13-17),Undergraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,12,High-Contrast,Simplified,Visual,True,False,17.5,0.91,1,1,68.8,6.0,False,Positive: Helpful Personalization
WALS-102826,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,None,Standard,15,Low-Stimulation Pastel,Simplified,Visual,False,True,27.3,0.24,3,0,79.1,6.0,True,Neutral: No Strong Opinion
WALS-107456,Higher Ed (18-24),Undergraduate,None (Control),Reading Comprehension,Some,Standard,19,Low-Stimulation Pastel,Distraction-Free,Visual,True,True,24.0,0.83,1,1,58.5,3.0,False,Suggestion: Better Font Controls
WALS-100149,School (13-17),Undergraduate,Autism,Cognitive Overload,Some,Standard,11,Dark Mode,Standard,Text,True,False,19.3,0.54,6,1,61.3,8.0,True,Neutral: No Strong Opinion
WALS-108876,Higher Ed (18-24),Secondary,Autism,Attention & Distraction,Some,Standard,17,High-Contrast,Simplified,Text,False,True,17.3,0.68,0,3,68.8,8.0,True,Neutral: No Strong Opinion
WALS-102455,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Standard,13,High-Contrast,Simplified,Audio,False,True,17.0,0.69,2,0,71.6,10.0,True,Neutral: No Strong Opinion
WALS-104335,Adult Learner (25+),Secondary,Dyslexia,Cognitive Overload,Some,Standard,21,Default,Simplified,Text,False,True,17.9,0.82,1,0,65.1,9.0,False,Positive: Helpful Personalization
WALS-100167,School (13-17),Undergraduate,Multiple,Reading Comprehension,Extensive,Dyslexia-Friendly,11,High-Contrast,Standard,Multimodal,True,False,19.5,0.7,1,2,82.4,6.0,True,Positive: Helpful Personalization
WALS-107959,Adult Learner (25+),Undergraduate,Autism,Cognitive Overload,Some,Dyslexia-Friendly,18,Default,Simplified,Text,True,False,12.9,0.38,2,2,85.6,9.0,True,Neutral: No Strong Opinion
WALS-109681,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Standard,15,Dark Mode,Distraction-Free,Visual,True,True,6.9,0.68,4,0,47.3,5.0,True,Suggestion: More Audio Content
WALS-101669,Higher Ed (18-24),Postgraduate,ADHD,Cognitive Overload,,Standard,14,High-Contrast,Simplified,Visual,False,False,11.8,0.46,2,0,75.6,,True,
WALS-109182,Higher Ed (18-24),Secondary,ADHD,Attention & Distraction,Extensive,Dyslexia-Friendly,12,High-Contrast,Distraction-Free,Audio,False,True,17.4,0.88,4,1,74.1,6.0,True,Suggestion: Better Font Controls
WALS-105076,Adult Learner (25+),Postgraduate,Dyscalculia,Cognitive Overload,Some,Standard,13,Default,Standard,Multimodal,False,True,8.7,0.59,5,4,68.5,6.0,True,Suggestion: More Audio Content
WALS-100801,Higher Ed (18-24),Undergraduate,Autism,Cognitive Overload,Some,Standard,17,Dark Mode,Distraction-Free,Audio,True,False,26.1,0.75,0,2,70.5,6.0,True,Suggestion: Better Font Controls
WALS-104812,School (13-17),Secondary,Autism,Sensory Sensitivity,None,Dyslexia-Friendly,17,Dark Mode,Standard,Text,False,True,25.8,0.86,2,1,68.0,8.0,False,Neutral: No Strong Opinion
WALS-105453,School (13-17),Undergraduate,None (Control),Sensory Sensitivity,,Standard,18,Low-Stimulation Pastel,Simplified,Multimodal,True,True,17.7,0.74,0,0,80.1,,True,
WALS-105537,Higher Ed (18-24),Undergraduate,ADHD,Attention & Distraction,Some,Standard,17,Default,Distraction-Free,Audio,True,True,14.2,0.93,1,2,60.2,5.0,True,Neutral: No Strong Opinion
WALS-104829,Higher Ed (18-24),Secondary,Dyslexia,Reading Comprehension,Some,Dyslexia-Friendly,18,Dark Mode,Simplified,Multimodal,True,False,25.4,0.59,2,1,82.2,7.0,True,Suggestion: More Audio Content
WALS-100742,Higher Ed (18-24),Undergraduate,Dyscalculia,Cognitive Overload,Some,Standard,17,Default,Distraction-Free,Text,False,False,19.2,0.9,1,1,79.1,4.0,True,Positive: Helpful Personalization
WALS-101957,Higher Ed (18-24),Secondary,Multiple,Cognitive Overload,,Dyslexia-Friendly,12,Dark Mode,Simplified,Text,False,False,7.6,0.78,1,0,84.0,,True,
WALS-107934,School (13-17),Postgraduate,None (Control),Reading Comprehension,None,Standard,22,High-Contrast,Simplified,Audio,True,True,13.1,0.94,1,3,64.3,5.0,True,Neutral: No Strong Opinion
WALS-101470,Higher Ed (18-24),Secondary,Autism,Cognitive Overload,Some,Standard,26,Default,Distraction-Free,Text,False,False,24.0,0.82,1,1,86.7,9.0,True,Positive: Helpful Personalization
WALS-106558,School (13-17),Undergraduate,Multiple,Reading Comprehension,,Dyslexia-Friendly,13,Low-Stimulation Pastel,Simplified,Audio,True,False,13.4,0.79,2,2,87.0,10.0,True,
WALS-104575,Higher Ed (18-24),Postgraduate,Dyslexia,Reading Comprehension,Extensive,Dyslexia-Friendly,12,High-Contrast,Standard,Visual,True,False,19.4,0.76,3,0,74.2,10.0,True,Neutral: No Strong Opinion
WALS-107293,School (13-17),Undergraduate,ADHD,Cognitive Overload,Extensive,Standard,22,High-Contrast,Simplified,Multimodal,True,True,19.9,0.6,1,0,70.5,7.0,True,Suggestion: Better Font Controls
WALS-106967,Higher Ed (18-24),Secondary,Autism,Attention & Distraction,Extensive,Standard,13,Default,Distraction-Free,Multimodal,False,False,12.6,0.76,1,0,76.3,7.0,True,Positive: Helpful Personalization
WALS-109266,Higher Ed (18-24),Undergraduate,Dyslexia,Reading Comprehension,,Standard,21,Low-Stimulation Pastel,Distraction-Free,Text,True,True,18.2,0.65,0,1,86.2,,True,
WALS-109913,Higher Ed (18-24),Undergraduate,Autism,Sensory Sensitivity,Some,Dyslexia-Friendly,16,Default,Standard,Audio,False,False,24.6,0.91,3,7,61.2,4.0,True,Neutral: No Strong Opinion
WALS-104217,Adult Learner (25+),Undergraduate,ADHD,Attention & Distraction,Some,Standard,21,High-Contrast,Distraction-Free,Visual,False,False,23.9,0.71,2,2,63.0,7.0,False,Suggestion: More Audio Content
WALS-104292,Higher Ed (18-24),Secondary,Dyslexia,Cognitive Overload,None,Standard,19,Default,Distraction-Free,Text,False,True,24.3,0.89,1,1,86.5,8.0,True,Suggestion: Better Font Controls
WALS-101458,School (13-17),Secondary,Autism,Cognitive Overload,Extensive,Dyslexia-Friendly,12,Low-Stimulation Pastel,Distraction-Free,Visual,False,False,24.4,0.8,0,0,72.4,5.0,True,Neutral: No Strong Opinion
WALS-105893,Adult Learner (25+),Undergraduate,Multiple,Cognitive Overload,None,Dyslexia-Friendly,21,Default,Distraction-Free,Visual,True,False,22.8,0.48,2,2,71.0,4.0,True,Positive: Helpful Personalization
WALS-100799,Adult Learner (25+),Undergraduate,Autism,Cognitive Overload,Extensive,Dyslexia-Friendly,17,Low-Stimulation Pastel,Standard,Visual,False,True,17.8,0.9,3,1,97.6,5.0,True,Neutral: No Strong Opinion
WALS-109654,School (13-17),Postgraduate,ADHD,Attention & Distraction,None,Dyslexia-Friendly,14,High-Contrast,Standard,Text,True,True,22.6,0.71,3,1,67.3,7.0,True,Suggestion: Better Font Controls
WALS-105196,School (13-17),Undergraduate,None (Control),Attention & Distraction,Some,Standard,15,Low-Stimulation Pastel,Simplified,Multimodal,False,False,21.5,0.54,2,2,76.5,4.0,True,Suggestion: More Audio Content
